scenario,environment,environment_index,strategy,description,probability_of_detection,probability_of_false_alarm,sensitivity,average_intercept_rate,average_reward,average_cost,average_continuous_reward,percentage_of_correct_predictions,average_intercept_time_error,average_intercept_time_error_us,average_time_to_intercept,average_time_to_intercept_censored,average_time_to_intercept_us,scan_efficiency,coverage,active_band_coverage,average_dwell_time,total_reward,n_timesteps,n_bands,emission_opportunities,observed_active_cells,intercepts,observed_idle_cells,false_alarms,visits,settling_timesteps,predictions,correct_predictions,bands_ever_active,bands_intercepted,n_intercept_time_predictions
spatial_scan,config_221:spatial_scan,2,sequential,Open-loop sequential sweep (baseline),0.029596453966201867,0.009541984732824428,0.946824224519941,0.1677571316409317,0.06965454069615283,-0.15372755823082962,0.15372755823082962,,65.55228758169935,131104.5751633987,93.9,93.9,187800.0,0.1677571316409317,1.0,1.0,1.999476713762428,266.15,3821.0,32.0,21658.0,677.0,641.0,3144.0,30.0,3821.0,0.0,0.0,0.0,10.0,10.0,459.0
spatial_scan,config_221:spatial_scan,2,random,Uniform random band selection,0.02899621387016345,0.010416666666666666,0.9617151607963247,0.1643548809212248,0.06250981418476838,-0.14985265637267733,0.14985265637267733,,100.90825688073394,201816.51376146788,181.3,181.3,362600.0,0.1643548809212248,1.0,1.0,1.999476713762428,238.85,3821.0,32.0,21658.0,653.0,628.0,3168.0,33.0,3821.0,0.0,0.0,0.0,10.0,10.0,436.0
spatial_scan,config_221:spatial_scan,2,smart_heuristic,Smart Scan without the learned model (occupancy heuristic + Thompson),0.05480653799981531,0.010575793184488837,0.9361198738170347,0.31065166186862075,0.2309212248102591,-0.2970188432347554,0.2970188432347554,90.37153322867609,46.10378510378511,92207.57020757021,161.2,161.2,322400.0,0.31065166186862075,1.0,1.0,1.999476713762428,882.35,3821.0,32.0,21658.0,1268.0,1187.0,2553.0,27.0,3821.0,0.0,1911.0,1727.0,10.0,10.0,819.0
spatial_scan,config_221:spatial_scan,2,smart_ml_only,Smart Scan with XGBoost but no online Thompson Sampling,0.05785391079508727,0.008,0.9485238455715367,0.3279246270609788,0.2501962836953677,-0.31524836430253866,0.31524836430253866,92.25536368393512,55.76613816534541,111532.27633069082,144.0,144.0,288000.0,0.3279246270609788,1.0,1.0,1.999476713762428,956.0,3821.0,32.0,21658.0,1321.0,1253.0,2500.0,20.0,3821.0,0.0,1911.0,1763.0,10.0,10.0,883.0
spatial_scan,config_221:spatial_scan,2,smart,"Smart Scan as shipped: XGBoost, Thompson Sampling per config.yaml",0.05785391079508727,0.008,0.9485238455715367,0.3279246270609788,0.2501962836953677,-0.31524836430253866,0.31524836430253866,92.25536368393512,55.76613816534541,111532.27633069082,144.0,144.0,288000.0,0.3279246270609788,1.0,1.0,1.999476713762428,956.0,3821.0,32.0,21658.0,1321.0,1253.0,2500.0,20.0,3821.0,0.0,1911.0,1763.0,10.0,10.0,883.0
spatial_scan,config_45:spatial_scan,3,sequential,Open-loop sequential sweep (baseline),0.029469548133595286,0.009828629032258064,0.9375,0.0075,-0.11546250000000001,0.007381500000000002,-0.007381500000000002,,84.12037037037037,168240.74074074073,16.5,16.5,33000.0,0.0075,1.0,1.0,2.0,-461.85,4000.0,32.0,1018.0,32.0,30.0,3968.0,39.0,4000.0,0.0,0.0,0.0,2.0,2.0,54.0
spatial_scan,config_45:spatial_scan,3,random,Uniform random band selection,0.03241650294695481,0.01008827238335435,0.9428571428571428,0.00825,-0.11841249999999999,0.006779750000000002,-0.006779750000000002,,199.625,399250.0,80.0,80.0,160000.0,0.00825,1.0,1.0,2.0,-473.65,4000.0,32.0,1018.0,35.0,33.0,3965.0,40.0,4000.0,0.0,0.0,0.0,2.0,2.0,56.0
spatial_scan,config_45:spatial_scan,3,smart_heuristic,Smart Scan without the learned model (occupancy heuristic + Thompson),0.04223968565815324,0.010108668182966895,1.0,0.01075,-0.1118125,0.004287500000000001,-0.004287500000000001,96.5,143.73333333333332,287466.6666666666,267.5,267.5,535000.0,0.01075,1.0,1.0,2.0,-447.25,4000.0,32.0,1018.0,43.0,43.0,3957.0,40.0,4000.0,0.0,2000.0,1930.0,2.0,2.0,75.0
spatial_scan,config_45:spatial_scan,3,smart_ml_only,Smart Scan with XGBoost but no online Thompson Sampling,0.05697445972495088,0.009898477157360405,0.9666666666666667,0.0145,-0.1075625,0.00038150000000000174,-0.00038150000000000174,92.55,97.27884615384616,194557.6923076923,13.5,13.5,27000.0,0.0145,1.0,1.0,2.0,-430.25,4000.0,32.0,1018.0,60.0,58.0,3940.0,39.0,4000.0,0.0,2000.0,1851.0,2.0,2.0,104.0
spatial_scan,config_45:spatial_scan,3,smart,"Smart Scan as shipped: XGBoost, Thompson Sampling per config.yaml",0.05697445972495088,0.009898477157360405,0.9666666666666667,0.0145,-0.1075625,0.00038150000000000174,-0.00038150000000000174,92.55,97.27884615384616,194557.6923076923,13.5,13.5,27000.0,0.0145,1.0,1.0,2.0,-430.25,4000.0,32.0,1018.0,60.0,58.0,3940.0,39.0,4000.0,0.0,2000.0,1851.0,2.0,2.0,104.0
